LAMMPS FCC Model for CoCuFeNiPd

  8788 atoms

 5 atom types

-1.2530497314545641e+00 4.6253049731452897e+01 xlo xhi
-1.2551195373430890e+00 4.6255119537342502e+01 ylo yhi
-1.2485814740622672e+00 4.6248581474063855e+01 zlo zhi

Atoms
id type x y z
1 2 -0.307362 -0.369301 -0.354884 
2 4 1.4822 -0.38864 1.57532 
3 3 -0.30522 1.53765 1.54849 
4 5 1.50402 1.46516 -0.276767 
5 5 3.40764 -0.356526 -0.286163 
7 2 3.37378 1.46517 1.53932 
53 1 -0.334022 3.31848 -0.266596 
54 4 1.55614 3.34652 1.49721 
57 4 3.34463 3.32831 -0.345396 
677 3 -0.273497 -0.367184 3.31902 
680 2 1.55259 1.48933 3.27076 
681 3 3.33142 -0.410958 3.27519 
729 1 -0.270371 3.32251 3.2821 
733 3 3.32253 3.32961 3.34089 
678 4 1.58022 -0.393968 5.07442 
679 5 -0.25213 1.47408 5.1041 
683 2 3.32787 1.43731 5.10726 
730 3 1.57443 3.33321 5.1187 
1353 2 -0.296819 -0.39406 7.01075 
1354 2 1.57425 -0.340288 8.8239 
1355 3 -0.269736 1.49388 8.76811 
1356 2 1.54763 1.42164 6.97704 
1357 1 3.36649 -0.3197 6.9591 
1359 4 3.35858 1.45255 8.80465 
1405 3 -0.206147 3.29739 6.98338 
1406 3 1.58616 3.22928 8.76986 
1409 4 3.30163 3.22312 6.93304 
2081 5 -0.249872 3.24836 10.6103 
2029 5 -0.276444 -0.329575 10.6136 
2030 3 1.54105 -0.367014 12.4225 
2031 1 -0.255763 1.44757 12.4863 
2032 4 1.5999 1.46309 10.6323 
2033 4 3.35265 -0.355584 10.6429 
2035 3 3.32652 1.45733 12.4008 
2761 5 3.30871 3.25717 14.2636 
2082 3 1.5132 3.28379 12.463 
2085 4 3.30606 3.25868 10.6553 
2705 1 -0.256373 -0.371227 14.2237 
2706 1 1.49804 -0.343371 16.0333 
2707 2 -0.299698 1.45065 16.0904 
2708 1 1.46955 1.45493 14.2391 
2709 5 3.36518 -0.320803 14.2435 
2711 2 3.34492 1.46039 16.1392 
2757 1 -0.270781 3.29906 14.2959 
2758 2 1.47003 3.29935 16.142 
3381 2 -0.378527 -0.353075 17.9231 
3382 4 1.44785 -0.395586 19.8409 
3383 1 -0.379637 1.43626 19.7851 
3384 5 1.47363 1.43056 17.9588 
3385 5 3.40976 -0.366795 17.9839 
3387 2 3.41747 1.46296 19.8018 
3433 4 -0.398607 3.29306 17.9408 
3434 5 1.4664 3.2713 19.8051 
3437 2 3.39255 3.28878 18.0034 
4057 3 -0.319666 -0.446106 21.5886 
4060 4 1.44393 1.39974 21.6119 
4061 5 3.35424 -0.355308 21.6229 
4109 1 -0.363377 3.27254 21.6285 
4113 2 3.3342 3.202 21.6172 
4058 4 1.51244 -0.416176 23.4958 
4059 5 -0.314264 1.40361 23.4901 
4063 3 3.29023 1.39342 23.4384 
4110 4 1.48924 3.2513 23.3809 
4733 3 -0.373022 -0.421358 25.336 
4734 5 1.53554 -0.418426 27.0522 
4735 3 -0.313663 1.45269 26.9885 
4736 1 1.50459 1.39853 25.2544 
4737 4 3.36674 -0.413111 25.2079 
4739 2 3.33339 1.39303 27.1214 
4785 1 -0.273641 3.28644 25.2306 
4786 4 1.43876 3.24044 27.0723 
4789 5 3.25745 3.23917 25.2338 
5409 5 -0.346503 -0.421632 28.8486 
5410 5 1.46192 -0.407759 30.7145 
5411 1 -0.317988 1.53363 30.776 
5412 4 1.44258 1.51008 28.8859 
5413 4 3.34707 -0.42264 28.9024 
5415 5 3.29254 1.44892 30.735 
5461 1 -0.331558 3.24167 28.9125 
5462 4 1.43109 3.26421 30.8054 
5465 2 3.30259 3.29018 28.9416 
6085 2 -0.315014 -0.390004 32.5745 
6088 3 1.43298 1.47402 32.6085 
6089 4 3.25254 -0.377853 32.5867 
6137 1 -0.357474 3.2969 32.5905 
6141 2 3.2903 3.25188 32.575 
6087 2 -0.376098 1.46693 34.3861 
6091 3 3.26103 1.46848 34.3399 
6138 4 1.43429 3.27354 34.35 
6086 4 1.49989 -0.379404 34.3807 
7493 3 3.32656 3.24113 39.8065 
7489 3 -0.343735 3.24505 39.7679 
7441 5 3.28365 -0.353752 39.804 
6761 3 -0.33756 -0.336771 36.2146 
6762 4 1.45574 -0.351271 37.9653 
6763 4 -0.356502 1.43846 38.0106 
6764 2 1.47541 1.44569 36.147 
6765 3 3.29461 -0.373621 36.1757 
6767 2 3.2839 1.47702 37.9676 
6813 2 -0.392232 3.26366 36.2084 
