LAMMPS FCC Model for CoCuFeNiPd

  8788 atoms

 5 atom types

-1.2151204467749379e+00 4.6215120446773646e+01 xlo xhi
-1.2274788693491190e+00 4.6227478869350719e+01 ylo yhi
-1.2226176983633918e+00 4.6222617698364239e+01 zlo zhi

Atoms
id type x y z
1 2 -0.0196555 -0.19159 -0.347743 
2 4 1.86542 -0.141314 1.51099 
3 3 0.00474379 1.69233 1.47969 
4 5 1.8606 1.63287 -0.348804 
5 5 3.76212 -0.154458 -0.368168 
7 2 3.78841 1.686 1.50485 
53 1 -0.00327888 3.46805 -0.339311 
54 3 1.88709 3.43095 1.44636 
57 3 3.81353 3.37265 -0.367326 
677 4 0.00454741 -0.109367 3.19213 
680 2 1.93473 1.69786 3.24583 
681 4 3.77221 -0.110333 3.25437 
729 1 0.0229744 3.44866 3.21953 
733 1 3.8028 3.44915 3.34398 
678 2 1.93142 -0.114745 5.09347 
679 5 0.0630578 1.64066 5.0425 
683 2 3.76784 1.64088 5.10317 
730 3 1.95796 3.44196 5.13212 
1353 3 0.0493574 -0.103249 6.98369 
1354 2 1.90653 -0.108934 8.78818 
1355 3 0.0326044 1.62699 8.77639 
1356 2 1.93389 1.62666 6.95705 
1357 3 3.78806 -0.0966008 6.95166 
1359 2 3.78309 1.63764 8.81501 
1405 2 0.0907718 3.38221 6.9701 
1406 2 1.91582 3.34334 8.85352 
1409 2 3.78166 3.38787 6.93889 
2029 5 -0.0059065 -0.104687 10.6373 
2030 2 1.90884 -0.16685 12.49 
2031 2 0.0408931 1.55955 12.6143 
2758 2 1.85356 3.41938 16.2197 
2757 2 0.0333479 3.36207 14.4195 
2035 3 3.78056 1.61097 12.463 
2761 5 3.72101 3.39499 14.3558 
2082 2 1.91441 3.35559 12.5256 
2711 3 3.76075 1.63689 16.238 
2705 2 0.0169197 -0.277244 14.3345 
2706 3 1.86464 -0.271405 16.2037 
2707 2 0.00230552 1.46115 16.1768 
2708 2 1.86511 1.58151 14.4114 
2709 5 3.72917 -0.141348 14.361 
2081 5 0.0322084 3.30969 10.7087 
2032 1 1.94801 1.59583 10.6838 
2085 2 3.75628 3.37757 10.7108 
2033 2 3.7576 -0.146055 10.6617 
3381 3 0.0284574 -0.312609 18.0878 
3382 1 1.83574 -0.29448 19.8984 
3383 2 -0.0255404 1.52881 19.9518 
3384 5 1.80429 1.57078 18.0395 
3385 5 3.72938 -0.204684 18.0511 
3387 2 3.75256 1.6663 19.8792 
3433 2 -0.0241429 3.4365 18.0268 
3434 5 1.82661 3.45185 19.8937 
3437 2 3.7288 3.45396 18.0146 
4057 5 -0.011553 -0.287362 21.7687 
4060 2 1.86826 1.62051 21.7158 
4061 5 3.70306 -0.213996 21.6789 
4109 2 -0.0584695 3.47339 21.7002 
4113 2 3.73943 3.45744 21.6997 
4058 2 1.87355 -0.269781 23.5623 
4059 5 -0.016175 1.64539 23.549 
4063 2 3.75884 1.63485 23.4871 
4110 2 1.85918 3.49956 23.449 
4733 2 -0.0476213 -0.263739 25.2972 
4734 5 1.87426 -0.251942 27.0417 
4735 2 0.0256097 1.69429 26.9977 
4736 2 1.88258 1.6559 25.2631 
4737 2 3.77214 -0.216664 25.255 
4739 5 3.7554 1.63146 27.1249 
4785 2 0.0370217 3.57017 25.2885 
4786 2 1.85787 3.53814 27.0901 
4789 5 3.72724 3.49333 25.2692 
5409 5 -0.0320112 -0.245284 28.8331 
5410 5 1.84979 -0.259015 30.6686 
5411 2 -0.0145654 1.68317 30.6804 
5412 2 1.81054 1.69735 28.8627 
5413 2 3.76431 -0.263555 28.8835 
5415 5 3.74344 1.64043 30.6463 
5461 2 0.0116618 3.55763 28.8568 
5462 2 1.85743 3.51485 30.6548 
5465 2 3.75371 3.52039 28.8779 
6085 5 -0.0184032 -0.223615 32.5405 
6088 2 1.83648 1.65094 32.535 
6089 5 3.73329 -0.232592 32.5567 
6137 5 0.00519508 3.47561 32.5356 
6141 5 3.73918 3.47251 32.5255 
7437 1 -0.013955 -0.249672 39.738 
7440 1 1.82694 1.58091 39.741 
7493 5 3.72581 3.38384 39.7199 
7489 1 0.0386057 3.41021 39.7238 
7441 5 3.71676 -0.194963 39.7712 
6761 2 0.00819842 -0.173854 36.2063 
6762 2 1.83315 -0.210859 37.9822 
6763 1 -0.00519508 1.57789 38.0403 
6764 2 1.82971 1.60823 36.1991 
6765 2 3.73776 -0.235657 36.1931 
6767 2 3.74714 1.588 37.9072 
6813 2 0.0109918 3.39491 36.1862 
6814 2 1.83993 3.39627 37.9592 
6817 2 3.74525 3.43695 36.1997 
